E1_FILIAL;E1_PREFIXO;E1_NUM;E1_PARCELA;E1_TIPO;E1_CLIENTE;E1_LOJA;E1_EMISSAO;E1_VENCTO;E1_VALOR;D_E_L_E_T_
1;NF;1;1;DUP;1;1;20260315;20260415;7500.00;
1;NF;1;2;DUP;1;1;20260315;20260515;7500.00;
1;NF;2;1;DUP;2;1;20260320;20260420;14250.00;
1;NF;2;2;DUP;2;1;20260320;20260520;14250.00;
1;NF;3;1;DUP;3;1;20260405;20260505;12000.00;
1;NF;4;1;DUP;4;1;20260412;20260512;22500.00;
1;NF;4;2;DUP;4;1;20260412;20260612;22500.00;
1;NF;5;1;DUP;5;1;20260418;20260518;8900.00;
1;NF;6;1;DUP;6;1;20260503;20260603;32000.00;
1;NF;7;1;DUP;1;1;20260510;20260610;18500.00;
1;NF;8;1;DUP;7;1;20260522;20260622;9500.00;
1;NF;9;1;DUP;8;1;20260601;20260701;22000.00;
1;NF;10;1;DUP;10;1;20260615;20260715;41000.00;
1;NF;11;1;DUP;2;1;20260702;20260802;15800.00;
1;NF;12;1;DUP;3;1;20260718;20260818;27500.00;
1;NF;13;1;DUP;4;1;20260805;20260905;38000.00;
1;NF;14;1;DUP;6;1;20260820;20260920;19200.00;
1;NF;15;1;DUP;1;1;20260901;20261001;25000.00;
1;NF;16;1;DUP;5;1;20260910;20261010;11500.00;
