E5_FILIAL;E5_FILBAI;E5_PREFIXO;E5_NUM;E5_PARCELA;E5_TIPO;E5_VALOR;E5_BAIXA;D_E_L_E_T_
1;1;NF;1;1;DUP;7500.00;20260410;
1;1;NF;2;1;DUP;14250.00;20260418;
1;1;NF;3;1;DUP;12000.00;20260502;
1;1;NF;4;1;DUP;22500.00;20260510;
1;1;NF;5;1;DUP;8900.00;20260515;
1;1;NF;6;1;DUP;32000.00;20260601;
1;1;NF;7;1;DUP;18500.00;20260608;
1;1;NF;8;1;DUP;9500.00;20260620;
1;1;NF;9;1;DUP;22000.00;20260630;
1;1;NF;10;1;DUP;41000.00;20260712;
1;1;NF;11;1;DUP;15800.00;20260801;
1;1;NF;12;1;DUP;27500.00;20260815;
1;1;NF;13;1;DUP;38000.00;20260903;
1;1;NF;14;1;DUP;10000.00;20260910;
1;1;NF;1;2;DUP;5000.00;20260520;
