F2_FILIAL;F2_DOC;F2_CLIENTE;F2_LOJA;F2_EMISSAO;F2_VALOR;D_E_L_E_T_
1;NF001;1;1;20260315;15000.00;
1;NF002;2;1;20260320;28500.00;
1;NF003;3;1;20260405;12000.00;
1;NF004;4;1;20260412;45000.00;
1;NF005;5;1;20260418;8900.00;
1;NF006;6;1;20260503;32000.00;
1;NF007;1;1;20260510;18500.00;
1;NF008;7;1;20260522;9500.00;
1;NF009;8;1;20260601;22000.00;
1;NF010;10;1;20260615;41000.00;
1;NF011;2;1;20260702;15800.00;
1;NF012;3;1;20260718;27500.00;
1;NF013;4;1;20260805;38000.00;
1;NF014;6;1;20260820;19200.00;
1;NF015;1;1;20260901;25000.00;
1;NF016;5;1;20260910;11500.00;
1;NF999;9;1;20260301;5000.00;*
